0,1,2,3,4,5,6
-2.4486,-0.2069,0.0822,4.0913,-0.1466,-0.8038,-0.6924
-2.4486,-0.2069,0.0823,4.0913,-0.1467,-0.8038,-0.6924
-2.4416,-1.5300,-0.3678,3.0861,-1.0845,-1.0148,0.0893
-2.4416,-1.5300,-0.3677,3.0861,-1.0845,-1.0148,0.0893
-2.4113,-4.7055,-1.5695,0.4047,-2.7008,-0.5706,-1.7665
-2.4436,-0.7196,-0.1092,3.6730,-0.4483,-0.7917,-0.7492
-2.4436,-0.7196,-0.1091,3.6730,-0.4483,-0.7917,-0.7492
-2.4119,-4.7767,-1.5787,0.4000,-2.8795,-0.7715,-0.9637
-2.4119,-4.7768,-1.5786,0.4001,-2.8795,-0.7716,-0.9637
-2.4304,-3.6781,-1.1256,1.3198,-2.2388,-0.8162,-0.8391
-2.4304,-3.6781,-1.1256,1.3199,-2.2389,-0.8163,-0.8391
-2.4378,-3.2739,-0.9675,1.6033,-1.8484,-0.6060,-1.7189
-2.4378,-3.2739,-0.9674,1.6033,-1.8484,-0.6060,-1.7189
-2.4141,-3.7402,-1.2347,1.2223,-2.2639,-0.7772,-0.8520
-2.4142,-3.7402,-1.2346,1.2223,-2.2639,-0.7772,-0.8520
-2.4408,-2.1143,-0.5633,2.6029,-1.3736,-0.9273,-0.3206
-2.4507,-1.1343,-0.2226,3.2755,-0.4481,-0.4378,-2.2953
-2.4507,-1.1343,-0.2226,3.2755,-0.4481,-0.4378,-2.2953
-2.4496,-1.8673,-0.4572,2.7239,-0.9613,-0.5491,-1.9111
-2.4435,-1.1642,-0.2673,3.2516,-0.5189,-0.5060,-1.9541
-2.4435,-1.1642,-0.2673,3.2516,-0.5189,-0.5060,-1.9541
-2.4478,-1.6051,-0.3515,3.0741,-1.2114,-1.1439,0.5467
-2.4478,-1.6052,-0.3515,3.0741,-1.2114,-1.1439,0.5467
-2.4225,-4.3751,-1.3889,0.7620,-2.6869,-0.8542,-0.6853
-2.4291,-4.4817,-1.4517,0.7321,-2.5556,-0.9466,-0.6781
-2.0732,-2.6543,-1.0477,5.0973,1.3033,-0.8097,-0.8223
-2.0429,-6.1119,-2.2865,2.4494,-1.1794,-1.3919,1.4581
-2.0429,-6.1120,-2.2865,2.4494,-1.1794,-1.3919,1.4581
-2.0620,-3.7531,-1.4329,4.3340,0.2886,-1.3242,1.2548
-2.0777,-2.4197,-0.8501,5.4177,0.8132,-1.3715,1.7347
-2.4453,-0.3265,0.0362,4.0369,-0.3513,-0.9954,0.1036
-2.4453,-0.3265,0.0362,4.0369,-0.3513,-0.9954,0.1036
-2.4381,-1.2642,-0.3092,3.2493,-0.8267,-0.8639,-0.4624
-2.4447,-1.3708,-0.3720,3.2193,-0.6953,-0.9563,-0.4552
-2.0792,-3.7391,-1.3724,4.2121,0.7888,-0.6243,-1.7461
-2.0792,-3.7391,-1.3723,4.2121,0.7888,-0.6243,-1.7461
-2.0422,-4.9744,-1.9624,3.1717,-0.0360,-0.7059,-1.1981
-2.0422,-4.9744,-1.9623,3.1717,-0.0360,-0.7059,-1.1981
-2.0739,-3.2935,-1.2229,4.7174,0.5923,-1.2961,1.0771
-2.0528,-4.2412,-1.6526,3.8587,0.1794,-1.0455,0.1574
-2.0528,-4.2412,-1.6526,3.8587,0.1794,-1.0455,0.1574
-2.0639,-3.8774,-1.4542,4.2778,0.1162,-1.4716,1.8209
-2.0640,-3.8774,-1.4541,4.2778,0.1162,-1.4716,1.8210
-2.0531,-5.9724,-2.2379,2.3412,-0.4248,-0.4184,-2.5737
-2.0633,-3.6216,-1.4282,4.2284,0.9480,-0.4719,-2.2026
-2.0668,-2.1551,-0.8892,5.6341,1.1590,-1.4502,1.8904
-2.0668,-2.1551,-0.8892,5.6341,1.1590,-1.4502,1.8904
-2.0657,-4.5290,-1.6949,3.5714,0.2702,-0.6771,-1.4886
-2.0436,-5.4643,-2.1204,2.7478,-0.2122,-0.5380,-1.9445
-2.0804,-2.4212,-0.9545,5.2029,1.7084,-0.4278,-2.4149
-2.0589,-4.7132,-1.7511,3.5978,-0.3583,-1.4306,1.6138
-2.0589,-4.7132,-1.7511,3.5978,-0.3583,-1.4307,1.6138
-2.0396,-5.8362,-2.2326,2.5784,-0.7994,-1.0704,0.2133
-2.0593,-3.5039,-1.3678,4.5221,0.4389,-1.3179,1.2805
-2.0826,-2.8684,-1.0406,5.0708,0.8584,-1.2887,1.0103
-2.0826,-2.8684,-1.0406,5.0708,0.8584,-1.2887,1.0103
-2.0908,-2.1117,-0.7983,5.4776,1.8851,-0.4529,-2.3778
-2.0445,-3.9509,-1.5256,4.0991,-0.0354,-1.2341,1.3265
-2.4027,-4.4563,-1.5132,0.6885,-2.8565,-1.0061,0.1085
-2.4027,-4.4563,-1.5132,0.6885,-2.8566,-1.0062,0.1085
-2.4309,-1.8214,-0.5360,2.7467,-1.0368,-0.6754,-1.2191
-2.4309,-1.8215,-0.5360,2.7467,-1.0368,-0.6754,-1.2191
-2.4350,-1.7490,-0.5101,2.7234,-0.7444,-0.3143,-2.7143
-2.4416,-1.8556,-0.5729,2.6934,-0.6130,-0.4067,-2.7071
-2.0581,-4.0227,-1.5659,3.9895,0.4608,-0.8300,-0.7430
-2.0762,-3.5714,-1.3219,4.3989,0.7162,-0.8737,-0.6877
-2.0521,-3.5511,-1.4137,4.5059,0.2997,-1.4716,1.9670
-2.0466,-4.9798,-1.9070,3.3370,-0.4692,-1.3439,1.3491
-2.0726,-4.0202,-1.4988,3.9710,0.6263,-0.6082,-1.7788
-2.0660,-3.9136,-1.4360,4.0010,0.4950,-0.5158,-1.7859
-2.4075,-4.2805,-1.4709,0.6494,-2.2315,-0.2477,-2.9957
-2.4075,-4.2805,-1.4708,0.6494,-2.2316,-0.2477,-2.9957
-2.4253,-3.8180,-1.2056,1.1591,-2.2215,-0.6615,-1.4347
-2.4253,-3.8180,-1.2055,1.1591,-2.2215,-0.6615,-1.4347
-2.4107,-4.7008,-1.5758,0.3852,-2.6394,-0.4835,-2.1134
-2.4107,-4.7008,-1.5757,0.3853,-2.6394,-0.4836,-2.1134
-2.4083,-4.5762,-1.5196,0.6179,-2.9514,-1.0480,0.2136
-2.4149,-4.6828,-1.5824,0.5879,-2.8201,-1.1404,0.2208
-2.0805,-3.0158,-1.1249,4.8276,1.1021,-0.7986,-0.9738
-2.0805,-3.0158,-1.1249,4.8276,1.1021,-0.7987,-0.9738
-2.0907,-1.7424,-0.6284,6.0165,1.4260,-1.4510,1.7124
-2.0841,-1.6358,-0.5655,6.0465,1.2946,-1.3586,1.7053
-2.4537,-0.6371,-0.0241,3.7824,-0.4454,-0.8732,-0.5049
-2.4537,-0.6371,-0.0241,3.7825,-0.4454,-0.8732,-0.5049
-2.4432,-2.1809,-0.5549,2.6358,-1.6285,-1.2468,0.9463
-2.4432,-2.1809,-0.5549,2.6358,-1.6285,-1.2468,0.9463
-3.0012,-0.7188,-0.5595,0.2108,-0.7418,-3.0910,1.0178
-3.0474,-0.1161,-0.3300,-2.3977,1.4586,-0.4219,-1.0269
-3.0489,-0.1277,-0.3206,-2.3809,1.3924,-0.5112,-0.6802
-3.0322,-0.1686,-0.3915,-2.2999,0.9340,-1.1268,1.9707
-3.0526,0.2609,-0.2431,-5.7125,5.3811,7.4268,4.7484
-3.0495,0.3410,-0.2715,-5.8362,5.9161,8.1471,1.8624
-3.0295,-0.4110,-0.4170,-1.0915,0.0430,-2.3705,1.0546
-3.0191,-0.3875,-0.4698,-1.1185,0.1035,-2.2884,0.8216
-3.0337,-0.3971,-0.3998,-1.1176,0.1840,-2.1811,0.2475
-3.0208,-0.3603,-0.4668,-1.1631,0.3125,-2.0072,-0.3323
-3.0292,-0.1246,-0.4130,-2.3665,1.2146,-0.7490,0.4698
-3.0265,-0.1651,-0.4185,-2.3000,0.9015,-1.1702,2.2003
-3.0473,-0.0950,-0.3339,-2.4310,1.6070,-0.2222,-1.8347
-3.0575,0.3246,-0.2315,-5.8181,5.8811,8.0993,1.9795
-3.0558,0.2826,-0.2321,-5.7498,5.5663,7.6758,3.7103
-3.0148,-0.3412,-0.4981,-1.1874,0.3864,-1.9073,-0.6798
-3.0154,-0.3812,-0.4884,-1.1248,0.1100,-2.2794,0.8208
-3.0144,-0.3795,-0.4933,-1.1264,0.1117,-2.2770,0.8206
-3.0294,-0.4018,-0.4191,-1.1059,0.1068,-2.2847,0.7083
-3.0262,-0.3273,-0.4476,-1.2205,0.5998,-1.6209,-1.9469
-3.0303,-0.1144,-0.4098,-2.3837,1.2975,-0.6375,0.0083
-3.0325,-0.1241,-0.3978,-2.3705,1.2513,-0.6998,0.2396
-3.0357,-0.1835,-0.3725,-2.2798,0.8644,-1.2208,2.3177
-3.0293,-0.3627,-0.4265,-1.1677,0.3824,-1.9138,-0.7921
-3.0203,-0.3594,-0.4693,-1.1639,0.3134,-2.0060,-0.3324
-3.0251,-0.3585,-0.4471,-1.1701,0.3686,-1.9320,-0.6776
-3.0352,-0.3665,-0.3984,-1.1673,0.4146,-1.8709,-1.0217
-3.0227,-0.4206,-0.4470,-1.0697,-0.0935,-2.5538,1.8610
-3.0346,-0.0645,-0.3989,-2.4667,1.6928,-0.1058,-2.1837
-3.0458,-0.1646,-0.3284,-2.3196,1.1011,-0.9031,0.9348
-3.0502,-0.1299,-0.3142,-2.3787,1.3901,-0.5144,-0.6799
-3.0267,-0.4154,-0.4291,-1.0819,-0.0157,-2.4494,1.4002
-3.0256,-0.3834,-0.4402,-1.1313,0.1982,-2.1614,0.2458
-3.0321,-0.3794,-0.4105,-1.1440,0.2928,-2.0345,-0.3299
-3.0257,-0.3235,-0.4504,-1.2260,0.6218,-1.5913,-2.0624
-3.0240,-0.3296,-0.4575,-1.2147,0.5612,-1.6726,-1.7166
-3.0487,-0.1153,-0.3238,-2.4002,1.4775,-0.3967,-1.1419
-3.0378,-0.1300,-0.3721,-2.3664,1.2633,-0.6840,0.1252
-3.0448,-0.1688,-0.3326,-2.3119,1.0605,-0.9576,1.1655
-3.0248,-0.1142,-0.4356,-2.3787,1.2435,-0.7098,0.3534
-3.0413,-0.1600,-0.3503,-2.3225,1.0877,-0.9207,1.0493
-3.0336,-0.1229,-0.3931,-2.3735,1.2707,-0.6739,0.1243
-3.0651,0.3389,-0.1985,-5.8479,6.0586,8.3377,0.9423
-3.0516,0.3076,-0.2562,-5.7854,5.7007,7.8570,3.0169
-3.0548,0.3022,-0.2402,-5.7799,5.6951,7.8492,3.0176
-3.0426,0.3137,-0.2990,-5.7862,5.6527,7.7930,3.3613
-3.0354,-0.0989,-0.3891,-2.4132,1.4583,-0.4215,-0.9140
-3.0354,-0.1559,-0.3789,-2.3230,1.0557,-0.9634,1.2790
-3.0327,-0.1634,-0.3900,-2.3086,0.9756,-1.0710,1.7399
-3.0371,-0.1289,-0.3754,-2.3675,1.2645,-0.6825,0.1251
-3.0261,-0.1614,-0.4211,-2.3054,0.9234,-1.1407,2.0848
-3.0330,-0.0859,-0.4025,-2.4314,1.5260,-0.3302,-1.2607
-3.0230,-0.1412,-0.4391,-2.3343,1.0347,-0.9906,1.5071
